"PSComputerName","Name","HotFixID","Description","InstalledBy","InstalledOn"
"PHOENIX","KB2899189_Microsoft-Windows-CameraCodec-Package","KB2899189_Microsoft-Windows-CameraCodec-Package","Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3134758","KB3134758","Update","Phoenix\dan","12/26/2017 12:00:00 AM"
"PHOENIX","KB2894852","KB2894852","Security Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB2894856","KB2894856","Security Update","NT AUTHORITY\SYSTEM","11/14/2017 12:00:00 AM"
"PHOENIX","KB2919355","KB2919355","Update","Phoenix\Administrator","3/18/2014 12:00:00 AM"
"PHOENIX","KB2919442","KB2919442","Update","Phoenix\Administrator","3/18/2014 12:00:00 AM"
"PHOENIX","KB2934520","KB2934520","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB2937220","KB2937220","Update","Phoenix\Administrator","3/18/2014 12:00:00 AM"
"PHOENIX","KB2938772","KB2938772","Update","Phoenix\Administrator","3/18/2014 12:00:00 AM"
"PHOENIX","KB2939471","KB2939471","Update","Phoenix\Administrator","3/18/2014 12:00:00 AM"
"PHOENIX","KB2949621","KB2949621","Hotfix","Phoenix\Administrator","3/18/2014 12:00:00 AM"
"PHOENIX","KB2954879","KB2954879","Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB2962806","KB2962806","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB2966826","KB2966826","Security Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB2966828","KB2966828","Security Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB2967917","KB2967917","Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB2968296","KB2968296","Security Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB2972103","KB2972103","Security Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB2976978","KB2976978","Update","NT AUTHORITY\SYSTEM","7/12/2018 12:00:00 AM"
"PHOENIX","KB2978041","KB2978041","Security Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB2989930","KB2989930","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB2990967","KB2990967","Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB2994290","KB2994290","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB2999226","KB2999226","Update","Phoenix\dan","12/8/2017 12:00:00 AM"
"PHOENIX","KB3000483","KB3000483","Security Update","NT AUTHORITY\SYSTEM","12/30/2017 12:00:00 AM"
"PHOENIX","KB3000850","KB3000850","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3003057","KB3003057","Security Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3003667","KB3003667","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3008242","KB3008242","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3012235","KB3012235","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3012702","KB3012702","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3013172","KB3013172","Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3013531","KB3013531","Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3013538","KB3013538","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3013791","KB3013791","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3014442","KB3014442","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3015696","KB3015696","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3018133","KB3018133","Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3019978","KB3019978","Security Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3020370","KB3020370","Update","NT AUTHORITY\SYSTEM","11/10/2017 12:00:00 AM"
"PHOENIX","KB3023219","KB3023219","Security Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3024751","KB3024751","Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3024755","KB3024755","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3029606","KB3029606","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3030947","KB3030947","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3032663","KB3032663","Security Update","NT AUTHORITY\SYSTEM","11/14/2017 12:00:00 AM"
"PHOENIX","KB3033446","KB3033446","Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3035126","KB3035126","Security Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3036612","KB3036612","Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3037576","KB3037576","Security Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3038002","KB3038002","Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3042085","KB3042085","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3043812","KB3043812","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3044374","KB3044374","Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3044673","KB3044673","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3045634","KB3045634","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3045685","KB3045685","Security Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3045717","KB3045717","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3045719","KB3045719","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3045755","KB3045755","Security Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3045999","KB3045999","Security Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3046017","KB3046017","Security Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3046339","KB3046339","Security Update","NT AUTHORITY\SYSTEM","1/24/2018 12:00:00 AM"
"PHOENIX","KB3046480","KB3046480","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3046737","KB3046737","Hotfix","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3047254","KB3047254","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3053863","KB3053863","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3054169","KB3054169","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3054256","KB3054256","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3054464","KB3054464","Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3055323","KB3055323","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3055343","KB3055343","Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3055642","KB3055642","Security Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3056347","KB3056347","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3059317","KB3059317","Security Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3060793","KB3060793","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3061493","KB3061493","Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3061512","KB3061512","Security Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3062760","KB3062760","Security Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3063843","KB3063843","Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3064059","KB3064059","Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3071756","KB3071756","Security Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3072307","KB3072307","Security Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3074228","KB3074228","Security Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3074545","KB3074545","Security Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3076949","KB3076949","Security Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3077715","KB3077715","Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3078405","KB3078405","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3078676","KB3078676","Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3080149","KB3080149","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3080800","KB3080800","Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3082089","KB3082089","Security Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3084135","KB3084135","Security Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3086255","KB3086255","Security Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3087137","KB3087137","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3091297","KB3091297","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3095701","KB3095701","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3097992","KB3097992","Security Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3099834","KB3099834","Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3100473","KB3100473","Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3103616","KB3103616","Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3103696","KB3103696","Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3103709","KB3103709","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3109103","KB3109103","Security Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3109560","KB3109560","Security Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3109976","KB3109976","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3110329","KB3110329","Security Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3115224","KB3115224","Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3121261","KB3121261","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3126030","KB3126030","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3126434","KB3126434","Security Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3126587","KB3126587","Security Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3127222","KB3127222","Security Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3133690","KB3133690","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3134815","KB3134815","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3137728","KB3137728","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3138378","KB3138378","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3138602","KB3138602","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3138910","KB3138910","Security Update","NT AUTHORITY\SYSTEM","11/14/2017 12:00:00 AM"
"PHOENIX","KB3138962","KB3138962","Security Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3139398","KB3139398","Security Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3139914","KB3139914","Security Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3140185","KB3140185","Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3140219","KB3140219","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3140222","KB3140222","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3140234","KB3140234","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3145384","KB3145384","Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3146604","KB3146604","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3146723","KB3146723","Security Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3146751","KB3146751","Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3147071","KB3147071","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3150513","KB3150513","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3155784","KB3155784","Security Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3156059","KB3156059","Security Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3159398","KB3159398","Security Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3161102","KB3161102","Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3161949","KB3161949","Security Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3172614","KB3172614","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3172729","KB3172729","Security Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3173424","KB3173424","Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3175024","KB3175024","Security Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3178539","KB3178539","Security Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3179574","KB3179574","Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3184143","KB3184143","Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB3186539","KB3186539","Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB3187754","KB3187754","Security Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB4033369","KB4033369","Update","NT AUTHORITY\SYSTEM","2/28/2018 12:00:00 AM"
"PHOENIX","KB4040972","KB4040972","Update","NT AUTHORITY\SYSTEM","12/9/2017 12:00:00 AM"
"PHOENIX","KB4040981","KB4040981","Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB4041777","KB4041777","Update","NT AUTHORITY\SYSTEM","12/9/2017 12:00:00 AM"
"PHOENIX","KB4048951","KB4048951","Security Update","NT AUTHORITY\SYSTEM","12/8/2017 12:00:00 AM"
"PHOENIX","KB4049179","KB4049179","Security Update","NT AUTHORITY\SYSTEM","12/2/2017 12:00:00 AM"
"PHOENIX","KB4053577","KB4053577","Security Update","NT AUTHORITY\SYSTEM","12/13/2017 12:00:00 AM"
"PHOENIX","KB4054566","KB4054566","Update","NT AUTHORITY\SYSTEM","7/14/2018 12:00:00 AM"
"PHOENIX","KB4054854","KB4054854","Update","NT AUTHORITY\SYSTEM","2/28/2018 12:00:00 AM"
"PHOENIX","KB4054980","KB4054980","Update","NT AUTHORITY\SYSTEM","2/14/2018 12:00:00 AM"
"PHOENIX","KB4054999","KB4054999","Update","NT AUTHORITY\SYSTEM","1/14/2018 12:00:00 AM"
"PHOENIX","KB4055001","KB4055001","Update","NT AUTHORITY\SYSTEM","1/14/2018 12:00:00 AM"
"PHOENIX","KB4056887","KB4056887","Security Update","NT AUTHORITY\SYSTEM","1/14/2018 12:00:00 AM"
"PHOENIX","KB4074595","KB4074595","Security Update","NT AUTHORITY\SYSTEM","2/8/2018 12:00:00 AM"
"PHOENIX","KB4088785","KB4088785","Security Update","NT AUTHORITY\SYSTEM","3/15/2018 12:00:00 AM"
"PHOENIX","KB4093110","KB4093110","Security Update","NT AUTHORITY\SYSTEM","4/16/2018 12:00:00 AM"
"PHOENIX","KB4095875","KB4095875","Update","NT AUTHORITY\SYSTEM","5/31/2018 12:00:00 AM"
"PHOENIX","KB4096417","KB4096417","Update","NT AUTHORITY\SYSTEM","5/31/2018 12:00:00 AM"
"PHOENIX","KB4103729","KB4103729","Security Update","NT AUTHORITY\SYSTEM","5/31/2018 12:00:00 AM"
"PHOENIX","KB4287903","KB4287903","Security Update","NT AUTHORITY\SYSTEM","6/8/2018 12:00:00 AM"
"PHOENIX","KB4338419","KB4338419","Update","NT AUTHORITY\SYSTEM","7/12/2018 12:00:00 AM"
"PHOENIX","KB4338424","KB4338424","Update","NT AUTHORITY\SYSTEM","7/11/2018 12:00:00 AM"
"PHOENIX","KB4338832","KB4338832","Security Update","NT AUTHORITY\SYSTEM","7/12/2018 12:00:00 AM"
"PHOENIX","KB4343902","KB4343902","Security Update","NT AUTHORITY\SYSTEM","8/15/2018 12:00:00 AM"
"PHOENIX","KB4344145","KB4344145","Update","NT AUTHORITY\SYSTEM","8/15/2018 12:00:00 AM"
"PHOENIX","KB4344153","KB4344153","Update","NT AUTHORITY\SYSTEM","8/15/2018 12:00:00 AM"
"PHOENIX","KB4457009","KB4457009","Update","NT AUTHORITY\SYSTEM","10/18/2018 12:00:00 AM"
"PHOENIX","KB4457015","KB4457015","Update","NT AUTHORITY\SYSTEM","10/18/2018 12:00:00 AM"
"PHOENIX","KB4457034","KB4457034","Update","NT AUTHORITY\SYSTEM","9/15/2018 12:00:00 AM"
"PHOENIX","KB4457045","KB4457045","Update","NT AUTHORITY\SYSTEM","9/15/2018 12:00:00 AM"
"PHOENIX","KB4457146","KB4457146","Security Update","NT AUTHORITY\SYSTEM","9/15/2018 12:00:00 AM"
"PHOENIX","KB4459935","KB4459935","Update","NT AUTHORITY\SYSTEM","11/22/2018 12:00:00 AM"
"PHOENIX","KB4459941","KB4459941","Update","NT AUTHORITY\SYSTEM","11/22/2018 12:00:00 AM"
"PHOENIX","KB4462930","KB4462930","Update","NT AUTHORITY\SYSTEM","10/18/2018 12:00:00 AM"
"PHOENIX","KB4467694","KB4467694","Security Update","NT AUTHORITY\SYSTEM","11/22/2018 12:00:00 AM"
"PHOENIX","KB4470630","KB4470630","Update","NT AUTHORITY\SYSTEM","12/23/2018 12:00:00 AM"
"PHOENIX","KB4470639","KB4470639","Update","NT AUTHORITY\SYSTEM","12/23/2018 12:00:00 AM"
"PHOENIX","KB4471331","KB4471331","Security Update","NT AUTHORITY\SYSTEM","12/23/2018 12:00:00 AM"
"PHOENIX","KB4477029","KB4477029","Security Update","NT AUTHORITY\SYSTEM","11/22/2018 12:00:00 AM"
"PHOENIX","KB4480054","KB4480054","Update","NT AUTHORITY\SYSTEM","1/20/2019 12:00:00 AM"
"PHOENIX","KB4480064","KB4480064","Update","NT AUTHORITY\SYSTEM","1/20/2019 12:00:00 AM"
"PHOENIX","KB4480979","KB4480979","Security Update","NT AUTHORITY\SYSTEM","1/20/2019 12:00:00 AM"
"PHOENIX","KB4483187","KB4483187","Security Update","NT AUTHORITY\SYSTEM","12/23/2018 12:00:00 AM"
"PHOENIX","KB4483450","KB4483450","Update","NT AUTHORITY\SYSTEM","2/27/2019 12:00:00 AM"
"PHOENIX","KB4483459","KB4483459","Update","NT AUTHORITY\SYSTEM","2/27/2019 12:00:00 AM"
"PHOENIX","KB4486105","KB4486105","Update","NT AUTHORITY\SYSTEM","8/25/2019 12:00:00 AM"
"PHOENIX","KB4487038","KB4487038","Security Update","NT AUTHORITY\SYSTEM","2/27/2019 12:00:00 AM"
"PHOENIX","KB4489907","KB4489907","Security Update","NT AUTHORITY\SYSTEM","3/24/2019 12:00:00 AM"
"PHOENIX","KB4493478","KB4493478","Security Update","NT AUTHORITY\SYSTEM","4/15/2019 12:00:00 AM"
"PHOENIX","KB4495585","KB4495585","Update","NT AUTHORITY\SYSTEM","5/17/2019 12:00:00 AM"
"PHOENIX","KB4495608","KB4495608","Update","NT AUTHORITY\SYSTEM","5/17/2019 12:00:00 AM"
"PHOENIX","KB4497932","KB4497932","Security Update","NT AUTHORITY\SYSTEM","5/17/2019 12:00:00 AM"
"PHOENIX","KB4503308","KB4503308","Security Update","NT AUTHORITY\SYSTEM","7/14/2019 12:00:00 AM"
"PHOENIX","KB4506996","KB4506996","Update","NT AUTHORITY\SYSTEM","7/16/2019 12:00:00 AM"
"PHOENIX","KB4507005","KB4507005","Update","NT AUTHORITY\SYSTEM","7/14/2019 12:00:00 AM"
"PHOENIX","KB4514371","KB4514371","Update","NT AUTHORITY\SYSTEM","10/22/2019 12:00:00 AM"
"PHOENIX","KB4515846","KB4515846","Update","NT AUTHORITY\SYSTEM","10/22/2019 12:00:00 AM"
"PHOENIX","KB4516115","KB4516115","Security Update","NT AUTHORITY\SYSTEM","10/22/2019 12:00:00 AM"
"PHOENIX","KB4533004","KB4533004","Update","NT AUTHORITY\SYSTEM","1/7/2020 12:00:00 AM"
"PHOENIX","KB4530702","KB4530702","Security Update","NT AUTHORITY\SYSTEM","1/7/2020 12:00:00 AM"
