"PSComputerName","Name","Manufacturer","Status","Service","DeviceID","HardwareID"
"2012DATA-DC1","USB Root Hub","(Standard USB Host Controller)","OK","usbhub","USB\ROOT_HUB\5&17DF1C1B&0","USB\ROOT_HUB&VID15AD&PID0774&REV0000 USB\ROOT_HUB&VID15AD&PID0774 USB\ROOT_HUB"
"2012DATA-DC1","USB Root Hub","(Standard USB Host Controller)","OK","usbhub","USB\ROOT_HUB20\5&25F23B66&0","USB\ROOT_HUB20&VID15AD&PID0770&REV0000 USB\ROOT_HUB20&VID15AD&PID0770 USB\ROOT_HUB20"
"2012DATA-DC1","USB Root Hub (xHCI)","(Standard USB HUBs)","OK","USBHUB3","USB\ROOT_HUB30\5&CF77B60&0&0","USB\ROOT_HUB30&VID15AD&PID0778&REV0000 USB\ROOT_HUB30&VID15AD&PID0778 USB\ROOT_HUB30"
"2012DATA-DC1","Generic USB Hub","(Standard USB HUBs)","OK","USBHUB3","USB\VID_0E0F&PID_0002\6&16AB4107&0&4","USB\VID_0E0F&PID_0002&REV_0100"
"2012DATA-DC1","Generic USB Hub","(Standard USB HUBs)","OK","USBHUB3","USB\VID_0E0F&PID_0002\6&16AB4107&0&2","USB\VID_0E0F&PID_0002&REV_0100"
"2012DATA-DC1","USB Composite Device","(Standard USB Host Controller)","OK","usbccgp","USB\VID_0E0F&PID_0003\7&CCE19FE&0&1","USB\VID_0E0F&PID_0003&REV_0102 USB\VID_0E0F&PID_0003"
"2012DATA-DC1","USB Input Device","(Standard system devices)","OK","HidUsb","USB\VID_0E0F&PID_0003&MI_00\8&37940623&0&0000","USB\VID_0E0F&PID_0003&REV_0102&MI_00 USB\VID_0E0F&PID_0003&MI_00"
"2012DATA-DC1","VMware USB Pointing Device","VMware, Inc.","OK","mouhid","HID\VID_0E0F&PID_0003&MI_00\9&2A3BF90E&0&0000","HID\VID_0E0F&PID_0003&REV_0102&MI_00 HID\VID_0E0F&PID_0003&MI_00 HID_DEVICE_SYSTEM_MOUSE HID_DEVICE_UP:0001_U:0002 HID_DEVICE"
"2012DATA-DC1","USB Input Device","(Standard system devices)","OK","HidUsb","USB\VID_0E0F&PID_0003&MI_01\8&37940623&0&0001","USB\VID_0E0F&PID_0003&REV_0102&MI_01 USB\VID_0E0F&PID_0003&MI_01"
"2012DATA-DC1","HID-compliant mouse","Microsoft","OK","mouhid","HID\VID_0E0F&PID_0003&MI_01\9&664BB4C&0&0000","HID\VID_0E0F&PID_0003&REV_0102&MI_01 HID\VID_0E0F&PID_0003&MI_01 HID_DEVICE_SYSTEM_MOUSE HID_DEVICE_UP:0001_U:0002 HID_DEVICE"
"DELLWIN10","USB Root Hub","(Standard USB Host Controller)","OK","usbhub","USB\ROOT_HUB20\4&F38AAD8&0","USB\ROOT_HUB20&VID8086&PID1C2D&REV0004 USB\ROOT_HUB20&VID8086&PID1C2D USB\ROOT_HUB20"
"DELLWIN10","Generic USB Hub","(Generic USB Hub)","OK","usbhub","USB\VID_8087&PID_0024\5&1432ED7&0&1","USB\VID_8087&PID_0024&REV_0000 USB\VID_8087&PID_0024"
"DELLWIN10","USB Composite Device","(Standard USB Host Controller)","OK","usbccgp","USB\VID_1BCF&PID_2802\6&A7E552&0&5","USB\VID_1BCF&PID_2802&REV_1<09 USB\VID_1BCF&PID_2802"
"DELLWIN10","Integrated Webcam","Microsoft","OK","usbvideo","USB\VID_1BCF&PID_2802&MI_00\7&92B74C4&0&0000","USB\VID_1BCF&PID_2802&REV_1<09&MI_00 USB\VID_1BCF&PID_2802&MI_00"
"DELLWIN10","USB Root Hub","(Standard USB Host Controller)","OK","usbhub","USB\ROOT_HUB20\4&A2C2D92&0","USB\ROOT_HUB20&VID8086&PID1C26&REV0004 USB\ROOT_HUB20&VID8086&PID1C26 USB\ROOT_HUB20"
"DELLWIN10","Generic USB Hub","(Generic USB Hub)","OK","usbhub","USB\VID_8087&PID_0024\5&10315D93&0&1","USB\VID_8087&PID_0024&REV_0000 USB\VID_8087&PID_0024"
"DELLWIN10","USB Mass Storage Device","Compatible USB storage device","OK","USBSTOR","USB\VID_1058&PID_25E2\575832314433373136303739","USB\VID_1058&PID_25E2&REV_4004 USB\VID_1058&PID_25E2"
"DELLWIN10","WD My Passport 25E2 USB Device","(Standard disk drives)","OK","disk","USBSTOR\DISK&VEN_WD&PROD_MY_PASSPORT_25E2&REV_4004\575832314433373136303739&0","USBSTOR\DiskWD______My_Passport_25E24004 USBSTOR\DiskWD______My_Passport_25E2 USBSTOR\DiskWD______ USBSTOR\WD______My_Passport_25E24 WD______My_Passport_25E24 USBSTOR\GenDisk GenDisk"
"DELLWIN10","WD SES Device","Western Digital Technologies","OK","WDC_SAM","USBSTOR\OTHER&VEN_WD&PROD_SES_DEVICE&REV_4004\575832314433373136303739&1","USBSTOR\OtherWD______SES_Device______4004 USBSTOR\OtherWD______SES_Device______ USBSTOR\OtherWD______ USBSTOR\WD______SES_Device______4 WD______SES_Device______4 USBSTOR\UsbstorOther UsbstorOther"
"DELLWIN10","USB Composite Device","(Standard USB Host Controller)","OK","usbccgp","USB\VID_0A5C&PID_5800\0123456789ABCD","USB\VID_0A5C&PID_5800&REV_0101 USB\VID_0A5C&PID_5800"
"DELLWIN10","Broadcom USH",,"Error",,"USB\VID_0A5C&PID_5800&MI_00\7&66DE6C9&0&0000","USB\VID_0A5C&PID_5800&REV_0101&MI_00 USB\VID_0A5C&PID_5800&MI_00"
"DELLWIN10","Microsoft Usbccid Smartcard Reader (WUDF)","Microsoft","OK","WUDFRd","USB\VID_0A5C&PID_5800&MI_01\7&66DE6C9&0&0001","USB\VID_0A5C&PID_5800&REV_0101&MI_01 USB\VID_0A5C&PID_5800&MI_01"
"DELLWIN10","Smart card filter driver","Microsoft","OK",,"{892EDE5E-BE49-443C-A0B3-005D74F2D69C}\SCFILTER\8&38DE34D8&0&01","{892EDE5E-BE49-443c-A0B3-005D74F2D69C}\ScFilter"
